order_date,order_id,customer_name,customer_segment,product_name,product_category,product_subcategory,product_manufacturer,shipping_city,shipping_state,shipping_region,shipping_date,shipping_mode,quantity,order_discount,order_profits,order_profit_ratio,order_sales
2015-04-18,CA-2015-100678,Kunst Miller,Consumer,Prang Dustless Chalk Sticks,Office Supplies,Art,Prang,Houston,Texas,Central,2015-04-22,Standard Class,2.0,0.2,1.0,0.38,3.0
2015-04-18,CA-2015-100678,Kunst Miller,Consumer,Cameo Buff Policy Envelopes,Office Supplies,Envelopes,Other,Houston,Texas,Central,2015-04-22,Standard Class,3.0,0.2,50.0,0.34,149.0
2015-04-18,CA-2015-100678,Kunst Miller,Consumer,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,Kensington,Houston,Texas,Central,2015-04-22,Standard Class,3.0,0.2,28.0,0.13,228.0
2015-04-18,CA-2015-100678,Kunst Miller,Consumer,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,DMI,Houston,Texas,Central,2015-04-22,Standard Class,3.0,0.3,-18.0,-0.06,317.0
2015-12-16,CA-2015-100706,Laurel Elliston,Consumer,Ultra Door Push Plate,Furniture,Furnishings,Ultra,Springfield,Virginia,South,2015-12-18,Second Class,6.0,0.0,10.0,0.33,29.0
2015-12-16,CA-2015-100706,Laurel Elliston,Consumer,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other,Springfield,Virginia,South,2015-12-18,Second Class,2.0,0.0,8.0,0.08,100.0
2015-11-24,CA-2015-100762,Nat Gilpin,Corporate,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,Adams,Jackson,Michigan,Central,2015-11-29,Standard Class,2.0,0.0,8.0,0.5,16.0
2015-11-24,CA-2015-100762,Nat Gilpin,Corporate,Xerox 1885,Office Supplies,Paper,Xerox,Jackson,Michigan,Central,2015-11-29,Standard Class,3.0,0.0,69.0,0.48,144.0
2015-11-24,CA-2015-100762,Nat Gilpin,Corporate,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Hunt,Jackson,Michigan,Central,2015-11-29,Standard Class,4.0,0.0,46.0,0.3,152.0
2015-11-24,CA-2015-100762,Nat Gilpin,Corporate,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,Other,Jackson,Michigan,Central,2015-11-29,Standard Class,2.0,0.0,96.0,0.49,197.0
2015-03-26,CA-2015-100860,Cindy Stewart,Consumer,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels,Smead,Pomona,California,West,2015-03-30,Second Class,5.0,0.0,9.0,0.48,19.0
2015-10-19,CA-2015-100867,Eugene Hildebrand,Home Office,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,RCA,Lakewood,California,West,2015-10-24,Standard Class,6.0,0.2,20.0,0.06,322.0
2015-03-28,CA-2015-100881,Daniel Raglin,Home Office,AT&T TR1909W,Technology,Phones,AT&T,Albuquerque,New Mexico,West,2015-04-01,Standard Class,3.0,0.2,23.0,0.08,302.0
2015-06-02,CA-2015-100895,Stewart Visinsky,Consumer,"Sanford Colorific Scented Colored Pencils, 12/Pack",Office Supplies,Art,Sanford,Roswell,Georgia,South,2015-06-06,Standard Class,2.0,0.0,3.0,0.31,9.0
2015-06-02,CA-2015-100895,Stewart Visinsky,Consumer,Mophie Juice Pack Helium for iPhone,Technology,Phones,Other,Roswell,Georgia,South,2015-06-06,Standard Class,3.0,0.0,67.0,0.28,240.0
2015-06-02,CA-2015-100895,Stewart Visinsky,Consumer,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,Other,Roswell,Georgia,South,2015-06-06,Standard Class,2.0,0.0,107.0,0.3,357.0
2015-10-21,CA-2015-100916,Frank Hawley,Corporate,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,Art,Sanford,Newport News,Virginia,South,2015-10-26,Standard Class,1.0,0.0,1.0,0.31,3.0
2015-10-21,CA-2015-100916,Frank Hawley,Corporate,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,Eldon,Newport News,Virginia,South,2015-10-26,Standard Class,5.0,0.0,10.0,0.05,195.0
2015-10-21,CA-2015-100916,Frank Hawley,Corporate,Hon 2111 Invitation Series Straight Table,Furniture,Tables,Hon,Newport News,Virginia,South,2015-10-26,Standard Class,4.0,0.0,112.0,0.19,591.0
2015-11-19,CA-2015-100972,Dennis Bolton,Home Office,Xerox 1888,Office Supplies,Paper,Xerox,Salt Lake City,Utah,West,2015-11-24,Second Class,3.0,0.0,80.0,0.48,166.0
2015-12-02,CA-2015-101147,Matt Collins,Consumer,Staple holder,Office Supplies,Appliances,Staple holder,Chicago,Illinois,Central,2015-12-04,First Class,1.0,0.8,-6.0,-2.65,2.0
2015-12-09,CA-2015-101175,Dario Medina,Corporate,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,Acco,Mesa,Arizona,West,2015-12-14,Standard Class,6.0,0.2,-1.0,-0.01,101.0
2015-08-27,CA-2015-101266,Michael Moore,Consumer,Xerox 1898,Office Supplies,Paper,Xerox,Springfield,Virginia,South,2015-08-30,Second Class,2.0,0.0,6.0,0.48,13.0
2015-12-22,CA-2015-101364,Tamara Willingham,Home Office,Lock-Up Easel 'Spel-Binder',Office Supplies,Binders,Other,New York City,New York,East,2015-12-26,Standard Class,13.0,0.2,100.0,0.34,297.0
2015-12-07,CA-2015-101392,Ann Steele,Home Office,Advantus Rolling Drawer Organizers,Office Supplies,Storage,Advantus,Seattle,Washington,West,2015-12-13,Standard Class,7.0,0.0,70.0,0.26,269.0
2015-12-26,CA-2015-101427,Andy Yotov,Corporate,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Office Supplies,Art,Eldon,Philadelphia,Pennsylvania,East,2015-12-30,Standard Class,3.0,0.2,1.0,0.14,8.0
2015-04-20,CA-2015-101462,Benjamin Patterson,Consumer,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,Furnishings,GE,Los Angeles,California,West,2015-04-25,Standard Class,4.0,0.0,28.0,0.46,60.0
2015-09-12,CA-2015-101476,Shirley Daniels,Home Office,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Technology,Machines,Epson,New Rochelle,New York,East,2015-09-13,First Class,1.0,0.0,30.0,0.43,70.0
2015-11-28,CA-2015-101560,Chris Selesnick,Corporate,Crayola Colored Pencils,Office Supplies,Art,Crayola,Columbia,South Carolina,South,2015-12-01,Second Class,4.0,0.0,4.0,0.33,13.0
2015-11-28,CA-2015-101560,Chris Selesnick,Corporate,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,GBC,Columbia,South Carolina,South,2015-12-01,Second Class,3.0,0.0,22.0,0.49,46.0
2015-11-28,CA-2015-101560,Chris Selesnick,Corporate,Xerox 1933,Office Supplies,Paper,Xerox,Columbia,South Carolina,South,2015-12-01,Second Class,7.0,0.0,40.0,0.47,86.0
2015-11-28,CA-2015-101560,Chris Selesnick,Corporate,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,Eldon,Columbia,South Carolina,South,2015-12-01,Second Class,5.0,0.0,44.0,0.11,398.0
2015-12-15,CA-2015-101602,Mick Crebagga,Consumer,ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Phones,Other,El Paso,Texas,Central,2015-12-18,First Class,3.0,0.2,-9.0,-0.23,41.0
2015-12-15,CA-2015-101602,Mick Crebagga,Consumer,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,Other,El Paso,Texas,Central,2015-12-18,First Class,5.0,0.3,-22.0,-0.03,763.0
2015-03-31,CA-2015-101770,Karen Bern,Corporate,Avery Hole Reinforcements,Office Supplies,Binders,Avery,Miami,Florida,South,2015-04-04,Standard Class,1.0,0.7,-1.0,-0.7,2.0
2015-11-17,CA-2015-101833,Frank Gastineau,Home Office,Southworth 100% Cotton The Best Paper,Office Supplies,Paper,Southworth,New York City,New York,East,2015-11-22,Second Class,3.0,0.0,17.0,0.5,34.0
2015-10-28,CA-2015-101931,Todd Sumrall,Corporate,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,Supplies,Other,Los Angeles,California,West,2015-10-31,First Class,2.0,0.0,0.0,0.01,6.0
2015-10-28,CA-2015-101931,Todd Sumrall,Corporate,Avery Non-Stick Binders,Office Supplies,Binders,Avery,Los Angeles,California,West,2015-10-31,First Class,2.0,0.2,2.0,0.31,7.0
2015-10-28,CA-2015-101931,Todd Sumrall,Corporate,Eldon Portable Mobile Manager,Office Supplies,Storage,Eldon,Los Angeles,California,West,2015-10-31,First Class,5.0,0.0,38.0,0.27,141.0
2015-10-28,CA-2015-101931,Todd Sumrall,Corporate,Premier Automatic Letter Opener,Office Supplies,Supplies,Other,Los Angeles,California,West,2015-10-31,First Class,2.0,0.0,14.0,0.03,481.0
2015-10-28,CA-2015-101931,Todd Sumrall,Corporate,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,O'Sullivan,Los Angeles,California,West,2015-10-31,First Class,6.0,0.15,-36.0,-0.06,617.0
2015-09-30,CA-2015-102008,Russell Applegate,Consumer,Tops Green Bar Computer Printout Paper,Office Supplies,Paper,Other,New York City,New York,East,2015-10-04,Standard Class,1.0,0.0,24.0,0.5,49.0
2015-10-04,CA-2015-102085,Joy Daniels,Consumer,Avery 519,Office Supplies,Labels,Avery,Seattle,Washington,West,2015-10-09,Standard Class,4.0,0.0,14.0,0.47,29.0
2015-11-21,CA-2015-102274,Dave Hallsten,Corporate,Newell 322,Office Supplies,Art,Newell,Richmond,Kentucky,South,2015-11-26,Standard Class,3.0,0.0,1.0,0.27,5.0
2015-11-21,CA-2015-102274,Dave Hallsten,Corporate,"Logitech B530 USB Headset - headset - Full size, Binaural",Technology,Phones,Logitech,Richmond,Kentucky,South,2015-11-26,Standard Class,1.0,0.0,10.0,0.27,37.0
2015-11-21,CA-2015-102274,Dave Hallsten,Corporate,Space Solutions Commercial Steel Shelving,Office Supplies,Storage,Space Solutions,Richmond,Kentucky,South,2015-11-26,Standard Class,3.0,0.0,10.0,0.05,194.0
2015-11-21,CA-2015-102274,Dave Hallsten,Corporate,Multicolor Computer Printout Paper,Office Supplies,Paper,Other,Richmond,Kentucky,South,2015-11-26,Standard Class,6.0,0.0,302.0,0.48,629.0
2015-11-24,CA-2015-102295,Erica Hackney,Consumer,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,Global,Sacramento,California,West,2015-11-26,Second Class,1.0,0.2,-18.0,-0.15,121.0
2015-12-29,CA-2015-102330,Arianne Irving,Consumer,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,Brentwood,California,West,2016-01-03,Standard Class,6.0,0.0,44.0,0.5,89.0
2015-12-29,CA-2015-102330,Arianne Irving,Consumer,HTC One,Technology,Phones,HTC,Brentwood,California,West,2016-01-03,Standard Class,4.0,0.2,36.0,0.11,320.0
2015-01-23,CA-2015-102645,Ionia McGrath,Consumer,Xerox 195,Office Supplies,Paper,Xerox,Las Vegas,Nevada,West,2015-01-28,Standard Class,6.0,0.0,19.0,0.48,40.0
2015-04-06,CA-2015-102652,Andy Yotov,Corporate,Xerox 211,Office Supplies,Paper,Xerox,Los Angeles,California,West,2015-04-12,Standard Class,3.0,0.0,9.0,0.48,19.0
2015-04-06,CA-2015-102652,Andy Yotov,Corporate,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,C-Line,Los Angeles,California,West,2015-04-12,Standard Class,7.0,0.0,13.0,0.39,33.0
2015-04-06,CA-2015-102652,Andy Yotov,Corporate,Xerox 194,Office Supplies,Paper,Xerox,Los Angeles,California,West,2015-04-12,Standard Class,1.0,0.0,27.0,0.48,55.0
2015-04-06,CA-2015-102652,Andy Yotov,Corporate,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,Tenex,Los Angeles,California,West,2015-04-12,Standard Class,2.0,0.0,16.0,0.17,92.0
2015-11-01,CA-2015-102673,Ken Heidel,Corporate,Staples,Office Supplies,Fasteners,Other,Charlotte,North Carolina,South,2015-11-05,Standard Class,5.0,0.2,1.0,0.19,8.0
2015-11-01,CA-2015-102673,Ken Heidel,Corporate,Newell 320,Office Supplies,Art,Newell,Charlotte,North Carolina,South,2015-11-05,Standard Class,3.0,0.2,1.0,0.09,10.0
2015-11-01,CA-2015-102673,Ken Heidel,Corporate,Avery 513,Office Supplies,Labels,Avery,Charlotte,North Carolina,South,2015-11-05,Standard Class,12.0,0.2,16.0,0.33,48.0
2015-11-01,CA-2015-102673,Ken Heidel,Corporate,Cisco IP Phone 7961G VoIP phone - Dark gray,Technology,Phones,Cisco,Charlotte,North Carolina,South,2015-11-05,Standard Class,9.0,0.2,110.0,0.11,979.0
2015-09-09,CA-2015-102869,Logan Currie,Consumer,Xerox 210,Office Supplies,Paper,Xerox,Philadelphia,Pennsylvania,East,2015-09-14,Second Class,3.0,0.2,5.0,0.35,16.0
2015-09-09,CA-2015-102869,Logan Currie,Consumer,"Master Caster Door Stop, Large Neon Orange",Furniture,Furnishings,Master Caster,Philadelphia,Pennsylvania,East,2015-09-14,Second Class,3.0,0.2,5.0,0.29,17.0
2015-09-09,CA-2015-102869,Logan Currie,Consumer,Rosewill 107 Normal Keys USB Wired Standard Keyboard,Technology,Accessories,Other,Philadelphia,Pennsylvania,East,2015-09-14,Second Class,6.0,0.2,-5.0,-0.08,65.0
2015-09-09,CA-2015-102869,Logan Currie,Consumer,Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,Polycom,Philadelphia,Pennsylvania,East,2015-09-14,Second Class,1.0,0.4,-32.0,-0.23,136.0
2015-04-05,CA-2015-102988,Greg Maxwell,Corporate,Xerox 1957,Office Supplies,Paper,Xerox,Alexandria,Virginia,South,2015-04-09,Second Class,2.0,0.0,6.0,0.49,13.0
2015-04-05,CA-2015-102988,Greg Maxwell,Corporate,Crayola Colored Pencils,Office Supplies,Art,Crayola,Alexandria,Virginia,South,2015-04-09,Second Class,7.0,0.0,8.0,0.33,23.0
2015-04-05,CA-2015-102988,Greg Maxwell,Corporate,Newell 321,Office Supplies,Art,Newell,Alexandria,Virginia,South,2015-04-09,Second Class,7.0,0.0,7.0,0.29,23.0
2015-04-05,CA-2015-102988,Greg Maxwell,Corporate,AT&T CL82213,Technology,Phones,AT&T,Alexandria,Virginia,South,2015-04-09,Second Class,1.0,0.0,8.0,0.29,29.0
2015-04-05,CA-2015-102988,Greg Maxwell,Corporate,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,Martin-Yale,Alexandria,Virginia,South,2015-04-09,Second Class,5.0,0.0,83.0,0.02,4164.0
2015-07-23,CA-2015-103058,Alejandro Grove,Consumer,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other,New York City,New York,East,2015-07-24,First Class,2.0,0.0,8.0,0.08,100.0
2015-10-17,CA-2015-103086,Evan Bailliet,Consumer,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Furnishings,G. E.,Houston,Texas,Central,2015-10-19,Second Class,2.0,0.6,-2.0,-0.3,5.0
2015-12-20,CA-2015-103100,Adrian Barton,Consumer,Avery 487,Office Supplies,Labels,Avery,Indianapolis,Indiana,Central,2015-12-23,First Class,1.0,0.0,2.0,0.47,4.0
2015-12-20,CA-2015-103100,Adrian Barton,Consumer,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,Ibico,Indianapolis,Indiana,Central,2015-12-23,First Class,3.0,0.0,497.0,0.45,1104.0
2015-09-22,CA-2015-103191,Vivek Grady,Corporate,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,SAFCO,Chicago,Illinois,Central,2015-09-27,Standard Class,3.0,0.2,-83.0,-0.25,332.0
2015-11-09,CA-2015-103219,Benjamin Farhat,Home Office,"Eldon 200 Class Desk Accessories, Black",Furniture,Furnishings,Eldon,New York City,New York,East,2015-11-13,Standard Class,9.0,0.0,21.0,0.38,57.0
2015-05-10,CA-2015-103310,Greg Matthias,Consumer,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Paper,Southworth,San Jose,California,West,2015-05-15,Standard Class,2.0,0.0,19.0,0.48,40.0
2015-05-10,CA-2015-103310,Greg Matthias,Consumer,Acme Design Stainless Steel Bent Scissors,Office Supplies,Supplies,Acme,San Jose,California,West,2015-05-15,Standard Class,6.0,0.0,11.0,0.27,41.0
2015-05-10,CA-2015-103310,Greg Matthias,Consumer,Hon Pagoda Stacking Chairs,Furniture,Chairs,Hon,San Jose,California,West,2015-05-15,Standard Class,1.0,0.2,32.0,0.13,257.0
2015-05-10,CA-2015-103310,Greg Matthias,Consumer,Wilson Electronics DB Pro Signal Booster,Technology,Phones,Other,San Jose,California,West,2015-05-15,Standard Class,5.0,0.2,125.0,0.09,1432.0
2015-07-05,CA-2015-103317,Don Miller,Corporate,Wilson Jones Four-Pocket Poly Binders,Office Supplies,Binders,Wilson Jones,Palm Coast,Florida,South,2015-07-08,First Class,5.0,0.7,-7.0,-0.7,10.0
2015-07-05,CA-2015-103317,Don Miller,Corporate,Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,Furnishings,Advantus,Palm Coast,Florida,South,2015-07-08,First Class,2.0,0.2,5.0,0.28,20.0
2015-07-05,CA-2015-103317,Don Miller,Corporate,Luxo Adjustable Task Clamp Lamp,Furniture,Furnishings,Luxo,Palm Coast,Florida,South,2015-07-08,First Class,3.0,0.2,16.0,0.08,213.0
2015-08-26,CA-2015-103331,Karl Braun,Consumer,Avoid Verbal Orders Carbonless Minifold Book,Office Supplies,Paper,Other,Newark,Delaware,East,2015-09-01,Standard Class,1.0,0.0,2.0,0.46,3.0
2015-08-26,CA-2015-103331,Karl Braun,Consumer,Acrylic Self-Standing Desk Frames,Furniture,Furnishings,Other,Newark,Delaware,East,2015-09-01,Standard Class,4.0,0.0,4.0,0.38,11.0
2015-08-26,CA-2015-103331,Karl Braun,Consumer,Xerox 1978,Office Supplies,Paper,Xerox,Newark,Delaware,East,2015-09-01,Standard Class,3.0,0.0,8.0,0.49,17.0
2015-01-15,CA-2015-103366,Erica Hackney,Consumer,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,Logitech,Roswell,Georgia,South,2015-01-17,First Class,5.0,0.0,66.0,0.44,150.0
2015-05-18,CA-2015-103373,Bruce Stewart,Consumer,Apple iPhone 5,Technology,Phones,Apple,Cleveland,Ohio,East,2015-05-24,Standard Class,2.0,0.4,-169.0,-0.22,780.0
2015-11-21,CA-2015-103401,Georgia Rosenberg,Corporate,Xerox 211,Office Supplies,Paper,Xerox,San Francisco,California,West,2015-11-26,Standard Class,2.0,0.0,6.0,0.48,13.0
2015-05-30,CA-2015-103429,Laurel Workman,Corporate,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,Binders,GBC,New York City,New York,East,2015-06-01,First Class,2.0,0.2,9.0,0.35,26.0
2015-05-30,CA-2015-103429,Laurel Workman,Corporate,Xerox 1948,Office Supplies,Paper,Xerox,New York City,New York,East,2015-06-01,First Class,4.0,0.0,18.0,0.45,40.0
2015-05-30,CA-2015-103429,Laurel Workman,Corporate,Honeywell Quietcare HEPA Air Cleaner,Office Supplies,Appliances,Honeywell,New York City,New York,East,2015-06-01,First Class,3.0,0.0,78.0,0.33,236.0
2015-05-30,CA-2015-103429,Laurel Workman,Corporate,Geemarc AmpliPOWER60,Technology,Phones,Other,New York City,New York,East,2015-06-01,First Class,5.0,0.0,135.0,0.29,464.0
2015-10-10,CA-2015-103492,Craig Molinari,Corporate,Avery Non-Stick Binders,Office Supplies,Binders,Avery,Huntsville,Texas,Central,2015-10-15,Standard Class,1.0,0.8,-2.0,-1.75,1.0
2015-10-10,CA-2015-103492,Craig Molinari,Corporate,GBC Personal VeloBind Strips,Office Supplies,Binders,GBC,Huntsville,Texas,Central,2015-10-15,Standard Class,5.0,0.8,-19.0,-1.6,12.0
2015-10-10,CA-2015-103492,Craig Molinari,Corporate,Motorola Droid Maxx,Technology,Phones,Motorola,Huntsville,Texas,Central,2015-10-15,Standard Class,6.0,0.2,72.0,0.1,720.0
2015-10-10,CA-2015-103492,Craig Molinari,Corporate,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,Cisco,Huntsville,Texas,Central,2015-10-15,Standard Class,7.0,0.2,66.0,0.09,756.0
2015-09-09,CA-2015-103527,Chris Cortes,Consumer,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Office Supplies,Paper,Ampad,Chicago,Illinois,Central,2015-09-14,Second Class,3.0,0.2,3.0,0.31,11.0
2015-11-30,CA-2015-103590,Jeremy Lonsdale,Consumer,Park Ridge Embossed Executive Business Envelopes,Office Supplies,Envelopes,Other,Mount Vernon,New York,East,2015-12-04,Standard Class,4.0,0.0,29.0,0.47,62.0
2015-08-25,CA-2015-103660,Mitch Webber,Consumer,Polycom VVX 310 VoIP phone,Technology,Phones,Polycom,Seattle,Washington,West,2015-08-30,Standard Class,7.0,0.2,76.0,0.08,1008.0
2015-09-12,CA-2015-103702,Art Foster,Consumer,"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,Premier,Fairfield,Ohio,East,2015-09-17,Standard Class,7.0,0.7,-47.0,-0.73,64.0
2015-02-23,CA-2015-103744,Michael Grace,Home Office,GBC Plastic Binding Combs,Office Supplies,Binders,GBC,El Paso,Texas,Central,2015-02-27,Standard Class,3.0,0.8,-7.0,-1.55,4.0
2015-02-23,CA-2015-103744,Michael Grace,Home Office,Staple-on labels,Office Supplies,Labels,Staple-on labels,El Paso,Texas,Central,2015-02-27,Standard Class,3.0,0.2,2.0,0.34,7.0
2015-01-03,CA-2015-103800,Darren Powers,Consumer,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper,Message Book,Houston,Texas,Central,2015-01-07,Standard Class,2.0,0.2,6.0,0.34,16.0
2015-12-02,CA-2015-103807,Elizabeth Moffitt,Corporate,Kingston Digital DataTraveler 8GB USB 2.0,Technology,Accessories,Kingston,Sandy Springs,Georgia,South,2015-12-09,Standard Class,1.0,0.0,1.0,0.14,6.0
2015-12-02,CA-2015-103807,Elizabeth Moffitt,Corporate,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",Office Supplies,Paper,Other,Sandy Springs,Georgia,South,2015-12-09,Standard Class,3.0,0.0,7.0,0.47,15.0
2015-05-11,CA-2015-103849,Paul Gonzalez,Consumer,SanDisk Cruzer 64 GB USB Flash Drive,Technology,Accessories,SanDisk,Fort Worth,Texas,Central,2015-05-16,Standard Class,2.0,0.2,7.0,0.13,58.0
2015-05-11,CA-2015-103849,Paul Gonzalez,Consumer,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,Deflect-o,Fort Worth,Texas,Central,2015-05-16,Standard Class,4.0,0.6,-84.0,-1.28,66.0
2015-05-11,CA-2015-103849,Paul Gonzalez,Consumer,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,Technology,Phones,Other,Fort Worth,Texas,Central,2015-05-16,Standard Class,1.0,0.2,6.0,0.06,101.0
2015-09-17,CA-2015-103940,Bradley Nguyen,Consumer,Eldon Gobal File Keepers,Office Supplies,Storage,Eldon,Seattle,Washington,West,2015-09-21,Standard Class,2.0,0.0,1.0,0.04,30.0
